Latitude,Longitude,Azimuth
12.9857,77.5141,180
12.991,77.6894,180
12.9237,77.615,180
12.8526,77.6607,180
12.8999,77.6765,180
12.9757,77.6445,180
12.9082,77.5809,180
12.8436,77.6481,180
13.065,77.5704,180
12.9729,77.5464,180
12.9649,77.5382,180
13.0554,77.6007,180
12.9244,77.5594,180
12.9588,77.6444,180
15.3702,75.1539,180
12.998,77.721,180
12.9164,77.6047,180
12.9262,77.6101,180
12.9008,77.674,180
12.9171,77.5767,180
12.9514,77.5626,180
12.9536,77.6247,180
13.0285,77.6837,180
12.9268,77.6766,180
12.9134,77.6076,180
12.8465,77.6774,180
12.775,77.7049,180
12.8412,77.666,180
12.9558,77.5755,180
13.1074,77.5747,180
13.0342,77.5623,180
12.9821,77.6571,180
12.933,77.7031,180
12.9079,77.5946,180
12.9079,77.5946,180
12.9734,77.7007,180
12.9428,77.5793,180
12.94281,77.57921,180
12.9723,77.6939,180
12.9182,77.6362,180
13.0132,77.6562,180
12.926,77.577,180
12.9868,77.7431,180
12.9946,77.7579,180
12.9572,77.5141,180
12.8491,77.6711,180
12.9206,77.5662,180
13.0182,77.5897,180
12.9033,77.6443,180
12.9605,77.7187,180
12.9506,77.7053,180
12.8903,77.6197,180
12.9404,77.5584,180
13.3261,77.1217,180
13.053,77.5983,180
12.945,77.6262,180
13.015,77.6762,180
12.8673,77.5449,180
13.0024,77.5243,180
12.8002,77.7121,180
12.8002,77.7121,180
12.8309,77.6876,180
12.96,77.67,180
12.9015,77.6728,180
12.9031,77.6754,180
12.9987,77.6032,180
12.91143,77.73309,180
12.9308,77.5384,180
12.9239,77.6166,180
12.9239,77.6166,180
12.8778,77.6217,180
12.8384,77.6497,180
12.9155,77.6917,180
12.9047,77.676,180
12.9127,77.1805,180
12.9947,77.5896,180
12.9609,77.7118,180
13.0338,77.6232,180
12.9729,77.6941,180
12.832,77.6973,180
12.95539,77.56371,180
12.8896,77.6347,180
12.9719,77.6324,180
12.9359,77.6195,180
13.0279,77.5366,180
12.9267,77.5392,180
12.9459,77.688,180
12.9261,77.6763,180
12.9284,77.6798,180
13.0514,77.6019,180
12.9933,77.6833,180
12.95,77.65,180
12.8981,77.6279,180
12.9828,77.6748,180
12.9603,77.6432,180
12.9297,77.5329,180
12.8553,77.6672,180
12.9159,77.6903,180
12.9222,77.5355,180
12.9259,77.6138,180
12.9507,77.6219,180
13.0635,77.5912,180
12.922,77.5235,180
13.0614,77.587,180
12.9798,77.5327,180
12.8918,77.6269,180
12.9003,77.6736,180
12.7916,77.5461,180
12.9468,77.7161,180
12.7944,77.6589,180
12.8313,77.6683,180
12.9072,77.6336,180
12.9673,77.7101,180
13.0014,77.5583,180
12.9269,77.6325,180
13.0347,77.5344,180
12.8998,77.5702,180
13.0813,77.6052,180
12.9749,77.645,180
13.0051,77.5071,180
13.0998,77.5927,180
12.9186,77.686,180
12.8182,77.6644,180
12.94531,77.62734,180
12.91621,77.63329,180
12.9675,77.5375,180
12.85057,77.65754,180
12.8487,77.6578,180
12.9678,77.7052,180
13.0218,77.5463,180
12.9074,77.6242,180
13.0034,77.7048,180
13.0203,77.7169,180
12.9407,77.6005,180
12.89155,77.61983,180
13.01464,77.51876,180
12.9028,77.6768,180
13.0348,77.589,180
12.92854,77.56723,180
15.4433,75.0109,180
12.9088,77.5239,180
13.0281,77.6393,180
12.9809,77.6279,180
12.9705,77.631,180
12.985,77.6077,180
12.9101,77.6821,180
12.9503,77.5635,180
12.9734,77.5836,180
12.5812,77.3451,180
12.9744,77.6526,180
12.9178,77.6133,180
12.9012,77.6755,180
12.9928,77.662,180
12.9569,77.6143,180
13.0794,77.6098,180
12.9779,77.7147,180
12.96,77.63,180
12.9224,77.6796,180
12.9086,77.6072,180
13.0195,77.5861,180
12.9716,77.627,180
12.97027,77.6282,180
12.9692,77.6599,180
12.9912,77.6633,180
12.949,77.689,180
13.0598,77.5876,180
13.0189,77.5515,180
13.0257,77.549,180
12.9327,77.6315,180
12.9822,77.5125,180
12.9306,77.5476,180
12.9372,77.5862,180
12.9491,77.6897,180
12.9629,77.6566,180
12.9042,77.6746,180
13.015,77.5453,180
13.097,77.5705,180
12.9634,77.5264,180
13.0829,77.5624,180
12.9792,77.694,180
12.84432,77.67188,180
12.9245,77.571,180
13.0006,77.5586,180
12.9154,77.5967,180
12.9154,77.5967,180
12.9636,77.7555,180
12.8876,77.6529,180
12.9698,77.7433,180
12.926,77.5896,180
12.9826,77.6814,180
12.8412,77.666,180
12.9816,77.681,180
12.88944,77.59722,180
12.9756,77.6747,180
12.9712,77.5541,180
13.0514,77.5951,180
12.919,77.5969,180
12.9173,77.6341,180
12.9271,77.5818,180
13.0028,77.6014,180
12.9864,77.5227,180
12.9469,77.7104,180
13.061,77.5592,180
12.9496,77.7146,180
13.085,77.5839,180
12.9679,77.6686,180
13.0008,77.5808,180
12.9792,77.5806,180
12.9038,77.6486,180
12.9328,77.5328,180
12.9467,77.708,180
12.9898,77.6902,180
13.0081,77.6961,180
12.9146,77.6361,180
12.9312,77.5848,180
12.9252,77.6004,180
13.1177,77.5666,180
12.9815,77.6571,180
12.9878,77.607,180
12.9003,77.6736,180
12.9031,77.6754,180
12.9901,77.5918,180
12.9681,77.5411,180
12.943,77.6219,180
12.9169,77.6693,180
12.9306,77.6845,180
12.85133,77.65852,180
13.0532,77.6037,180
13.0102,77.5295,180
12.9656,77.6727,180
12.5344,77.4123,180
12.9978,77.489,180
13.0364,77.5734,180
12.9873,77.6878,180
12.5754,77.3511,180
12.92089,77.72247,180
13.0195,77.6929,180
12.9597,77.6447,180
12.9154,77.6822,180
12.926,77.6665,180
12.926,77.6665,180
12.985,77.6888,180
13.06171,77.55617,180
13.0294,77.6593,180
13.0437,77.5171,180
13.0767,77.6337,180
12.8498,77.6545,180
12.7995,77.7049,180
13.0836,77.6368,180
13.08499,77.63176,180
12.9908,77.6043,180
12.98399,77.59331,180
13.0738,77.6334,180
12.5467,77.4198,180
12.9876,77.5128,180
12.9256,77.5148,180
12.974,77.6543,180
13.0505,77.5135,180
12.9633,77.7117,180
13.0073,77.6801,180
12.9676,77.7178,180
12.9051,77.5813,180
12.9081,77.6104,180
12.9824,77.5598,180
12.9835,77.5955,180
12.9056,77.5697,180
12.9327,77.5749,180
12.9848,77.5155,180
13.0632,77.58,180
12.9117,77.5964,180
12.9493,77.5701,180
13.0182,77.4995,180
12.9589,77.5685,180
12.9614,77.4873,180
12.9031,77.6754,180
12.9315,77.6302,180
12.9314,77.6103,180
13.0719,77.5692,180
12.9585,77.7025,180
12.9019,77.673,180
12.9206,77.6357,180
12.9031,77.6754,180
17.307,76.8264,180
12.8992,77.6652,180
12.9329,77.604,180
12.84432,77.67194,180
12.8892,77.5662,180
12.84432,77.67194,180
12.9,77.5546,180
12.9001,77.5865,180
12.9914,77.7017,180
13.056,77.4991,180
12.9502,77.6116,180
12.8677,77.6198,180
12.93419,77.60187,180
12.9155,77.6738,180
12.9018,77.6283,180
12.95745,77.55928,180
12.9279,77.6726,180
12.8169,77.6897,180
12.8779,77.622,180
12.9509,77.6225,180
12.9416,77.6937,180
12.982,77.5476,180
12.9601,77.5579,180
12.9367,77.5805,180
15.4479,75.9953,180
13.0159,77.6404,180
12.9944,77.6776,180
12.9377,77.625,180
12.888,77.5617,180
12.98023,77.57079,180
12.9768,77.6784,180
13.0135,77.672,180
12.919,77.5683,180
12.92791,77.73888,180
12.9371,77.5819,180
12.97,77.7061,180
12.976,77.6295,180
13.0705,77.57,180
12.9676,77.7613,180
13.0497,77.6233,180
12.96869,77.56019,180
12.8706,77.614,180
13.0254,77.6484,180
12.9031,77.6754,180
12.928,77,180
13.0027,77.676,180
12.9512,77.7081,180
12.9728,77.637,180
12.7978,77.6608,180
12.93954,77.74299,180
12.9956,77.614,180
12.9127,77.1805,180
12.3522,76.6228,180
12.9665,77.6107,180
