Complaints,Minlat,Minlong,Maxlat,Maxlong
1,12.87597263,74.84292,12.87737641,74.84436
7,12.91352122,74.85534,12.91474935,74.8566
1,12.86930453,74.85534,12.87070836,74.8566
1,12.84912369,74.86758,12.85052763,74.86902
1,12.890712,74.86902,12.8921157,74.87028
1,15.39276464,75.07908,15.39397944,75.08052
1,15.34902716,75.09006,15.35024221,75.0915
1,15.35024221,75.10518,15.35163084,75.10662
1,15.3833931,75.12174,15.3847815,75.123
1,15.36360734,75.123,15.36482231,75.12444
1,15.35301945,75.12714,15.35423448,75.12858
1,15.33843854,75.13956,15.33965365,75.14082
1,15.34902716,75.14082,15.35024221,75.14226
1,15.35163084,75.16008,15.35301945,75.16152
1,15.28670278,75.17106,15.28809183,75.1725
1,12.30908764,76.60764,12.31031868,76.6089
1,12.3024048,76.61448,12.30363586,76.61574
1,12.32245283,76.62132,12.32385965,76.62276
1,12.27145046,76.62402,12.27285755,76.62546
2,12.33317965,76.62546,12.33458641,76.62672
1,12.33054195,76.62546,12.33194872,76.62672
1,12.33722407,76.62672,12.33863082,76.62816
1,12.27145046,76.62672,12.27285755,76.62816
1,12.33194872,76.63086,12.33317965,76.6323
1,12.3024048,76.63086,12.30363586,76.6323
1,12.29835984,76.635,12.29959092,76.63644
1,12.29572178,76.63914,12.29695288,76.64058
1,12.32649742,76.6638,12.32790422,76.66524
1,12.33722407,76.68036,12.33863082,76.6818
1,12.29695288,76.69278,12.29835984,76.69404
1,17.30469236,76.82454,17.30589532,76.82598
1,17.32960929,76.83282,17.33081209,76.83408
1,17.32960929,76.83408,17.33081209,76.83552
1,17.32565717,76.83822,17.32703183,76.83966
1,17.40949249,76.8933,17.41086652,76.89456
1,13.50967069,77.0085,13.51107085,77.00994
1,13.32407818,77.1102,13.32547941,77.11164
1,13.33879073,77.1129,13.34001674,77.11434
2,12.94562605,77.38902,12.94685402,77.39028
1,12.75416428,77.4,12.75539319,77.40126
1,13.1623565,77.44662,13.1635834,77.44806
1,12.91352122,77.4783,12.91474935,77.47956
7,12.89878319,77.48244,12.90001139,77.4837
1,12.92281976,77.4837,12.92422329,77.48514
12,12.90948589,77.4837,12.91071404,77.48514
1,12.91211763,77.48514,12.91352122,77.4864
1,12.98579512,77.48784,12.9870229,77.48928
1,12.98579512,77.48928,12.9870229,77.49054
5,12.95088874,77.49198,12.95229211,77.49342
5,13.04857918,77.49342,13.04998199,77.49468
1,12.98298876,77.49342,12.98439195,77.49468
1,12.97912996,77.49342,12.98035777,77.49468
1,12.92422329,77.49882,12.92545136,77.50026
1,13.0419157,77.50026,13.04331855,77.50152
1,13.0098233,77.50026,13.01122634,77.50152
1,12.79155552,77.5044,12.79295978,77.50566
1,12.99105697,77.5071,12.99246011,77.50854
1,12.95895799,77.5071,12.96036131,77.50854
1,12.97228922,77.5098,12.97369246,77.51124
1,12.96036131,77.5098,12.96158921,77.51124
2,13.02718528,77.51124,13.02858822,77.5125
1,13.0231518,77.51124,13.02455476,77.5125
3,12.97632352,77.51124,12.97772675,77.5125
2,13.0419157,77.5125,13.04331855,77.51394
1,12.98298876,77.5125,12.98439195,77.51394
14,12.97106137,77.5125,12.97228922,77.51394
5,12.91474935,77.5125,12.91615291,77.51394
1,13.0231518,77.51394,13.02455476,77.51538
1,12.98035777,77.51394,12.98176097,77.51538
1,12.91615291,77.51664,12.91755648,77.51808
1,13.06067818,77.51808,13.06208093,77.51952
1,13.05927543,77.51808,13.06067818,77.51952
1,13.01911825,77.51952,13.02052123,77.52078
2,13.0098233,77.51952,13.01122634,77.52078
1,12.96702697,77.51952,12.96825484,77.52078
1,12.96158921,77.51952,12.96299251,77.52078
1,12.90808228,77.51952,12.90948589,77.52078
5,12.90685412,77.51952,12.90808228,77.52078
1,12.95632674,77.52078,12.95755466,77.52222
1,12.90948589,77.52078,12.91071404,77.52222
1,12.96702697,77.52222,12.96825484,77.52348
1,12.9549234,77.52222,12.95632674,77.52348
1,12.95895799,77.52348,12.96036131,77.52492
1,12.97106137,77.52492,12.97228922,77.52636
1,12.96825484,77.52492,12.96965811,77.52636
1,12.96702697,77.52492,12.96825484,77.52636
1,12.96158921,77.52492,12.96299251,77.52636
1,12.9549234,77.52492,12.95632674,77.52636
1,12.97632352,77.52636,12.97772675,77.52762
1,12.96965811,77.52636,12.97106137,77.52762
1,12.97106137,77.52906,12.97228922,77.5305
4,12.96702697,77.52906,12.96825484,77.5305
1,12.9549234,77.52906,12.95632674,77.5305
1,12.96562369,77.5305,12.96702697,77.53176
2,12.9549234,77.5305,12.95632674,77.53176
2,13.03525205,77.53176,13.03665494,77.5332
11,12.98842606,77.53176,12.98982921,77.5332
1,12.98579512,77.53446,12.9870229,77.5359
1,13.01245398,77.5359,13.013857,77.53734
1,13.00175571,77.5359,13.00315878,77.53734
3,12.98579512,77.5359,12.9870229,77.53734
1,12.96158921,77.5359,12.96299251,77.53734
1,12.92825837,77.5359,12.92948643,77.53734
1,12.90808228,77.53734,12.90948589,77.5386
5,12.90281869,77.53734,12.90404687,77.5386
9,13.02858822,77.5386,13.02981578,77.54004
1,13.01526001,77.5386,13.01648764,77.54004
2,13.00842026,77.5386,13.0098233,77.54004
1,12.98579512,77.5386,12.9870229,77.54004
1,12.91211763,77.5386,12.91352122,77.54004
1,13.00719259,77.54004,13.00842026,77.54148
1,12.93895981,77.54004,12.94018782,77.54148
1,12.91615291,77.54004,12.91755648,77.54148
1,13.04454604,77.54274,13.04594888,77.54418
2,13.02595771,77.54274,13.02718528,77.54418
1,13.0098233,77.54274,13.01122634,77.54418
2,12.93352143,77.54274,12.9349249,77.54418
4,12.92948643,77.54274,12.93088992,77.54418
1,12.92685487,77.54274,12.92825837,77.54418
1,12.91878459,77.54274,12.92018813,77.54418
1,13.0219242,77.54418,13.0231518,77.54562
1,13.013857,77.54418,13.01526001,77.54562
8,13.00578954,77.54418,13.00719259,77.54562
1,12.93895981,77.54418,12.94018782,77.54562
1,12.93615292,77.54418,12.93755637,77.54562
1,12.90685412,77.54418,12.90808228,77.54562
1,13.01911825,77.54562,13.02052123,77.54688
1,13.01245398,77.54562,13.013857,77.54688
1,12.91878459,77.54562,12.92018813,77.54688
1,12.91071404,77.54562,12.91211763,77.54688
1,13.05664525,77.54688,13.05804801,77.54832
1,13.00578954,77.54688,13.00719259,77.54832
1,13.00052801,77.54688,13.00175571,77.54832
1,12.99368785,77.54688,12.99509097,77.54832
1,12.97228922,77.54688,12.97369246,77.54832
1,12.95632674,77.54688,12.95755466,77.54832
1,12.99509097,77.54832,12.99649409,77.54958
7,12.88264054,77.54832,12.88404429,77.54958
3,12.8719367,77.54832,12.87334051,77.54958
1,13.04454604,77.54958,13.04594888,77.55102
1,13.03928533,77.54958,13.04051284,77.55102
1,12.98439195,77.54958,12.98579512,77.55102
1,12.90948589,77.54958,12.91071404,77.55102
2,12.89878319,77.54958,12.90001139,77.55102
1,12.98176097,77.55102,12.98298876,77.55246
1,12.94562605,77.55102,12.94685402,77.55246
1,12.90404687,77.55102,12.9054505,77.55246
2,12.88141226,77.55102,12.88264054,77.55246
13,12.98439195,77.55246,12.98579512,77.55372
1,12.91071404,77.55246,12.91211763,77.55372
1,13.04051284,77.55372,13.0419157,77.55516
1,13.0098233,77.55372,13.01122634,77.55516
1,12.88808003,77.55372,12.88930828,77.55516
1,12.82648412,77.55372,12.82771268,77.55516
3,13.08469909,77.55516,13.0861017,77.5566
13,13.08066655,77.55516,13.08206918,77.5566
1,13.07803659,77.55516,13.07943924,77.5566
1,13.07663394,77.55516,13.07803659,77.5566
1,13.01122634,77.55516,13.01245398,77.5566
1,12.9750957,77.55516,12.97632352,77.5566
1,13.07663394,77.5566,13.07803659,77.55786
1,13.0419157,77.5566,13.04331855,77.55786
5,13.03384915,77.5566,13.03525205,77.55786
1,13.0098233,77.5566,13.01122634,77.55786
3,13.00719259,77.5566,13.00842026,77.55786
1,13.00438647,77.5566,13.00578954,77.55786
1,12.99509097,77.5566,12.99649409,77.55786
